date,infect.med,confirmed,confirmed.7d,ratio,ratio.7d
2020-04-01,3236,69,48.285714285714285,46.89855072463768,67.01775147928994
2020-04-02,3065.5,26,43.285714285714285,117.90384615384616,70.82013201320132
2020-04-03,2842.5,41,41.714285714285715,69.32926829268293,68.14212328767123
2020-04-04,2676,20,37.857142857142854,133.8,70.68679245283019
2020-04-05,2493.5,35,39.42857142857143,71.24285714285715,63.2409420289855
2020-04-06,2297.5,23,35.857142857142854,99.8913043478261,64.07370517928287
2020-04-07,2130,36,35.714285714285715,59.166666666666664,59.64
2020-04-08,1971,33,30.571428571428573,59.72727272727273,64.47196261682242
2020-04-09,1796,45,33.285714285714285,39.91111111111111,53.957081545064376
2020-04-10,1652,19,30.142857142857142,86.94736842105263,54.80568720379147
2020-04-11,1475.5,17,29.714285714285715,86.79411764705883,49.65625
2020-04-12,1331.5,7,25.714285714285715,190.21428571428572,51.78055555555555
2020-04-13,1196.5,8,23.571428571428573,149.5625,50.76060606060606
2020-04-14,1076.5,36,23.571428571428573,29.90277777777778,45.669696969696965
2020-04-15,971,12,20.571428571428573,80.91666666666667,47.201388888888886
2020-04-16,899,36,19.285714285714285,24.97222222222222,46.614814814814814
2020-04-17,810,13,18.428571428571427,62.30769230769231,43.95348837209303
2020-04-18,744.5,13,17.857142857142858,57.26923076923077,41.692
2020-04-19,660.5,5,17.571428571428573,132.1,37.58943089430894
2020-04-20,610,9,17.714285714285715,67.77777777777777,34.43548387096774
2020-04-21,560.5,9,13.857142857142858,62.27777777777778,40.44845360824742
2020-04-22,520,13,14,40,37.142857142857146
2020-04-23,477,7,9.857142857142858,68.14285714285714,48.391304347826086
2020-04-24,435,15,10.142857142857142,29,42.887323943661976
2020-04-25,408.5,8,9.428571428571429,51.0625,43.32575757575758
2020-04-26,371,6,9.571428571428571,61.833333333333336,38.76119402985075
2020-04-27,346,6,9.142857142857142,57.666666666666664,37.84375
2020-04-28,311,15,10,20.733333333333334,31.1
2020-04-29,283.5,8,9.285714285714286,35.4375,30.530769230769227
2020-04-30,270.5,3,8.714285714285714,90.16666666666667,31.04098360655738
2020-05-01,241.5,4,7.142857142857143,60.375,33.809999999999995
2020-05-02,220,0,6,Inf,36.666666666666664
2020-05-03,193.5,0,5.142857142857143,Inf,37.625
2020-05-04,165,7,5.285714285714286,23.571428571428573,31.216216216216218
2020-05-05,151.5,2,3.4285714285714284,75.75,44.1875
2020-05-06,128,1,2.4285714285714284,128,52.70588235294118
2020-05-07,126,4,2.5714285714285716,31.5,48.99999999999999
2020-05-08,107.5,2,2.2857142857142856,53.75,47.03125
2020-05-09,94.5,4,2.857142857142857,23.625,33.074999999999996
2020-05-10,83.5,1,3,83.5,27.833333333333332
2020-05-11,76,2,2.2857142857142856,38,33.25
2020-05-12,70,2,2.2857142857142856,35,30.625
2020-05-13,66,1,2.2857142857142856,66,28.875
2020-05-14,60,0,1.7142857142857142,Inf,35
2020-05-15,57,0,1.4285714285714286,Inf,39.9
2020-05-16,54,1,1,54,54
2020-05-17,45,1,1,45,45
2020-05-18,45.5,0,0.7142857142857143,Inf,63.699999999999996
2020-05-19,44,1,0.5714285714285714,44,77
2020-05-20,39,0,0.42857142857142855,Inf,91
2020-05-21,34.5,0,0.42857142857142855,Inf,80.5
2020-05-22,31,0,0.42857142857142855,Inf,72.33333333333334
2020-05-23,28.5,0,0.2857142857142857,Inf,99.75
2020-05-24,27.5,1,0.2857142857142857,27.5,96.25
2020-05-25,25,2,0.5714285714285714,12.5,43.75
2020-05-26,22,0,0.42857142857142855,Inf,51.333333333333336
2020-05-27,21.5,2,0.7142857142857143,10.75,30.099999999999998
2020-05-28,21,0,0.7142857142857143,Inf,29.4
2020-05-29,21,0,0.7142857142857143,Inf,29.4
2020-05-30,23.5,0,0.7142857142857143,Inf,32.9
2020-05-31,22,0,0.5714285714285714,Inf,38.5
2020-06-01,23,3,0.7142857142857143,7.666666666666667,32.199999999999996
2020-06-02,25,1,0.8571428571428571,25,29.166666666666668
2020-06-03,23.5,1,0.7142857142857143,23.5,32.9
2020-06-04,24,3,1.1428571428571428,8,21
2020-06-05,26,4,1.7142857142857142,6.5,15.166666666666668
2020-06-06,27.5,0,1.7142857142857142,Inf,16.041666666666668
2020-06-07,35.5,1,1.8571428571428572,35.5,19.115384615384613
2020-06-08,37,0,1.4285714285714286,Inf,25.9
2020-06-09,41,2,1.5714285714285714,20.5,26.09090909090909
2020-06-10,47.5,0,1.4285714285714286,Inf,33.25
2020-06-11,54.5,3,1.4285714285714286,18.166666666666668,38.15
2020-06-12,61,4,1.4285714285714286,15.25,42.699999999999996
2020-06-13,68,1,1.5714285714285714,68,43.27272727272727
2020-06-14,74.5,3,1.8571428571428572,24.833333333333332,40.11538461538461
2020-06-15,86.5,2,2.142857142857143,43.25,40.36666666666667
2020-06-16,95,9,3.142857142857143,10.555555555555555,30.227272727272727
2020-06-17,110.5,3,3.5714285714285716,36.833333333333336,30.939999999999998
2020-06-18,130.5,2,3.4285714285714284,65.25,38.0625
2020-06-19,137.5,4,3.4285714285714284,34.375,40.10416666666667
2020-06-20,143,2,3.5714285714285716,71.5,40.04
2020-06-21,154.5,7,4.142857142857143,22.071428571428573,37.29310344827586
2020-06-22,173,11,5.428571428571429,15.727272727272727,31.86842105263158
2020-06-23,193,1,4.285714285714286,193,45.03333333333333
2020-06-24,218.5,6,4.714285714285714,36.416666666666664,46.348484848484844
2020-06-25,249.5,11,6,22.681818181818183,41.583333333333336
2020-06-26,277,14,7.428571428571429,19.785714285714285,37.28846153846154
2020-06-27,306.5,9,8.428571428571429,34.05555555555556,36.36440677966102
2020-06-28,322.5,4,8,80.625,40.3125
2020-06-29,337.5,15,8.571428571428571,22.5,39.375
2020-06-30,343.5,13,10.285714285714286,26.423076923076923,33.39583333333333
2020-07-01,351.5,28,13.428571428571429,12.553571428571429,26.175531914893618
2020-07-02,366,28,15.857142857142858,13.071428571428571,23.08108108108108
2020-07-03,367,17,16.285714285714285,21.58823529411765,22.535087719298247
2020-07-04,378,19,17.714285714285715,19.894736842105264,21.338709677419352
2020-07-05,392.5,21,20.142857142857142,18.69047619047619,19.48581560283688
2020-07-06,401,14,20,28.642857142857142,20.05
2020-07-07,416,34,23,12.235294117647058,18.08695652173913
2020-07-08,432.5,11,20.571428571428573,39.31818181818182,21.024305555555554
2020-07-09,443,28,20.571428571428573,15.821428571428571,21.53472222222222
2020-07-10,455.5,23,21.428571428571427,19.804347826086957,21.256666666666668
2020-07-11,465,11,20.285714285714285,42.27272727272727,22.922535211267608
2020-07-12,470,6,18.142857142857142,78.33333333333333,25.905511811023622
2020-07-13,472,15,18.285714285714285,31.466666666666665,25.8125
2020-07-14,480.5,21,16.428571428571427,22.88095238095238,29.247826086956525
2020-07-15,472.5,24,18.285714285714285,19.6875,25.83984375
2020-07-16,479.5,21,17.285714285714285,22.833333333333332,27.739669421487605
2020-07-17,486,8,15.142857142857142,60.75,32.09433962264151
2020-07-18,488.5,11,15.142857142857142,44.40909090909091,32.259433962264154
2020-07-19,486.5,10,15.714285714285714,48.65,30.95909090909091
2020-07-20,497.5,27,17.428571428571427,18.425925925925927,28.545081967213118
2020-07-21,502.5,28,18.428571428571427,17.946428571428573,27.26744186046512
2020-07-22,513.5,26,18.714285714285715,19.75,27.43893129770992
2020-07-23,508.5,16,18,31.78125,28.25
2020-07-24,514.5,13,18.714285714285715,39.57692307692308,27.492366412213737
2020-07-25,510,12,18.857142857142858,42.5,27.045454545454543
2020-07-26,530,10,18.857142857142858,53,28.106060606060606
2020-07-27,530.5,17,17.428571428571427,31.205882352941178,30.438524590163937
2020-07-28,537,13,15.285714285714286,41.30769230769231,35.13084112149532
2020-07-29,539,22,14.714285714285714,24.5,36.63106796116505
2020-07-30,512,21,15.428571428571429,24.38095238095238,33.18518518518518
2020-07-31,509,10,15,50.9,33.93333333333333
2020-08-01,503,3,13.714285714285714,167.66666666666666,36.677083333333336
2020-08-02,492.5,5,13,98.5,37.88461538461539
2020-08-03,490,16,12.857142857142858,30.625,38.11111111111111
2020-08-04,485.5,15,13.142857142857142,32.36666666666667,36.94021739130435
2020-08-05,496,16,12.285714285714286,31,40.372093023255815
2020-08-06,494,9,10.571428571428571,54.888888888888886,46.72972972972973
2020-08-07,511,7,10.142857142857142,73,50.38028169014085
2020-08-08,519,5,10.428571428571429,103.8,49.76712328767123
2020-08-09,516.5,16,12,32.28125,43.041666666666664
2020-08-10,528,25,13.285714285714286,21.12,39.74193548387097
2020-08-11,544,26,14.857142857142858,20.923076923076923,36.61538461538461
2020-08-12,552,36,17.714285714285715,15.333333333333334,31.161290322580644
2020-08-13,569.5,32,21,17.796875,27.11904761904762
2020-08-14,576,24,23.428571428571427,24,24.585365853658537
2020-08-15,584,13,24.571428571428573,44.92307692307692,23.767441860465116
2020-08-16,597,19,25,31.42105263157895,23.88
2020-08-17,628,33,26.142857142857142,19.03030303030303,24.02185792349727
2020-08-18,633.5,37,27.714285714285715,17.12162162162162,22.85824742268041
2020-08-19,643.5,44,28.857142857142858,14.625,22.29950495049505
2020-08-20,677.5,38,29.714285714285715,17.82894736842105,22.80048076923077
2020-08-21,705.5,38,31.714285714285715,18.56578947368421,22.245495495495494
2020-08-22,706.5,25,33.42857142857143,28.26,21.134615384615383
2020-08-23,687,12,32.42857142857143,57.25,21.185022026431717
2020-08-24,692,34,32.57142857142857,20.352941176470587,21.24561403508772
2020-08-25,713.5,37,32.57142857142857,19.283783783783782,21.905701754385966
2020-08-26,718,36,31.428571428571427,19.944444444444443,22.845454545454547
2020-08-27,722,39,31.571428571428573,18.512820512820515,22.868778280542987
2020-08-28,716,33,30.857142857142858,21.696969696969695,23.203703703703702
2020-08-29,742.5,20,30.142857142857142,37.125,24.63270142180095
2020-08-30,774.5,35,33.42857142857143,22.12857142857143,23.168803418803417
2020-08-31,799,49,35.57142857142857,16.306122448979593,22.461847389558233
